thousand,千、千の
strong,強い
consult,助言や意見を求めて話を聞く、相談する。
all right,大丈夫、了解
in connection with,～に関連して
here,ここに
poison,毒、毒物
preemptive,先制の
ammunition,弾薬
incredible,信じられない、驚くべき。通常では考えられないほどすごい。
loot,戦利品、略奪物
solicit,要請する、懇願する
hands-on,実践的な、体験型の
or so,～かそこら
gaudy,派手
afterwards,その後で、後に
recess,休憩や一時的な休み。
vice president,副社長、副大統領。組織の二番目の地位。
absolute,絶対的な、完全な
steadfast,固定した、確固とした
optimism,楽観主義
used,使った
for the most part,大部分は
rise and shine,起き上がる、起床する
invader,侵略者、侵入者
banal,平凡な
despicable,意味:卑劣な、軽蔑に値する。人としての倫理や道徳を欠いた行動や性質に対して使われる。
behave oneself,行儀良くする
layover,乗り継ぎ時間
repulse,追い払う
worthy of,ふさわしくて、に値して
saturation,飽和
compassionate,思いやりのある、情け深い
quarrelsome,議論好きな、論争好きな
inject,注入する
holy,神聖な、聖なる
reckoning,計算、清算
sign,合図、標識。あることを示すもの。
physicist,物理学者
intervention,介在、仲裁
emanate,発する、出す
odd,変わった、奇妙な、不自然な。
salt,塩
nomadic,遊牧の、移動する
knowledge is power,知識は力なり
dissolution,分離、溶解
persist in,固執する、やり通す
glisten,きらめく、光る
hydraulic,油圧の
ragged,ぼろぼろの、古びた
whimsical,気まぐれな、移り気な
queen,女王
slave,奴隷
mawkish,感傷的な、過剰に感動する
embroil in,に巻き込む、関与させる
take the initiative,率先して行動する。主導権を握って物事を進める。
mess up,台無しにする、台無しにして価値や効果を無くす、損なう
someone in need,助けが必要な人
wage,賃金、給料。労働の対価として支払われる金銭。
good morning,おはよう
orchard,果樹園
cheque,銀行振出の支払証書、小切手
not any longer,もはやない
injurious,有害な、危害を及ぼす
take turns,交代する
perpetual,永久の
accuse,責任を追及する。
premature,時期尚早の、早まった
malaise,不快感、違和感
relieve,和らげる、安心させる
correct,正しい、修正する。間違いがない状態や、誤りを修正して正すことを意味します。
strenuous,努力を要する、骨の折れる
detergent,洗濯・食器用の洗剤
do away with,を廃止する、除く、無くす
leave,去る 残す 置いて行く
die out,廃れる、流行が過ぎる、死に絶える
customer-satisfaction,顧客の満足度。
arid,水分のない、不毛な、味気ない。
grant,助成金、または報奨金。特定の目的のために与えられる資金や報酬です。
manic,躁病の
morose,不機嫌な
psychic,超能力のある
secure,安全な、確実な。危険や不安のない状態。また、確保するという動詞としても。
squalor,不潔、汚さ
infinite,無限の、限りない
human,人間に関連すること、または人間のこと。
teem,群がる、集まる
handout,配布用の資料や情報。
spelling,言葉の正しい綴り。
navy,海軍、水軍
then,それから、続けて、またはその時点で。
fully,十分に、完全に、全体として。
skew,斜めの、傾いた
wet,濡れている
buy over,買収する、味方に抱き込む
cost,費用として払う、費用。何かを得るために支払うお金。
enroll,入学する。学校や教育プログラムに正式に登録して参加すること。
provocation,挑発
in the event of,の場合には
destruction,破壊、崩壊、消滅
ranch,牧場
pulse,脈拍、心臓の鼓動、振動
through,～を通して。ある期間や過程を通して、またはある手段を用いてという意味を表す。
slapstick,ドタバタ喜劇
oversleep,寝坊する、寝過ごす
fold,折る、畳む、閉じる
hobnob,親しく交際する、つるむ
mutual,相互の、互いの
approve of,を認める
councilor,評議員、議員
rise,上がる、昇る
sportsmanship,公平なプレー精神
utter,完全な、全くの、絶対的な
wharf,波止場、埠頭
formula,数式や計画の形式。
move,動く、引っ越す
bull,雄牛、特に未去勢のもの。
ball up,混乱する、台無しにする
compete with,と競争する、と競う
classical,古典的な。古くから受け継がれている形式や、伝統的な価値を持つものを指します。
to excess,過剰に、過度に
operation,操縦、運営、特定の作業や活動。
arrogance,傲慢
source,源、出所、原点、情報源
end up,最終的に～することになる
May,５月
contribution,貢献、寄与、寄付。
chill,冷たさ、寒気。
crush,押しつぶす、強く圧力をかける。
intestine,腸、腸管、はらわた
delicate,繊細な、デリケートな
chasten,懲らしめる、罰する
mingle,を混ぜる、一緒にする
dictionary,辞書
wholesome,健全な、健康的な
resistant,抵抗力のある、耐性がある
politician,政治家、政府要人
break up,別れる
suffer from,で苦しむ、悩まされる
anxiety,不安感、心配事
story,短い投稿内容
probably,おそらく、多分。
pull up,車などを止める
volunteer,ボランティア、無報酬で働く人。
touch off,発射させる、誘発する
evil,邪悪な、悪しき
demanding,要求の多い、厳しい
treaty,条約
go under,失敗する、破産する、失敗に終わる
first and last,総じて、概して
stapler,ホッチキス
guide,案内人・案内する
at a glance,ひと目見て
humiliate,に恥をかかせる
wonder,不思議に感じること。
tally,集計
beard,ひげ、あごひげ
lukewarm,なまぬるい、微温の
chart,データを示す図や表。
pho,ベトナムの米麺スープ
implementation,計画の実施や展開。
soon,すぐに。近い将来に、すぐに行われることを表す。
puke,吐く
fill out,に必要事項を記入する、記載する
beef up,強化する、増強する
speak for,を代弁する、の代理で話す、言い表す
armpit,脇の下
significance,重要性、意味や価値の程度。
slavery,奴隷制度、隷属
legacy,遺産
embroil,巻き込む、関与させる
rectify,修正する、是正する
citizen,市民、国民
addictive,中毒性の、依存性の
hiatus,隙間、割れ目、ひび
localize,地方化する
desert,砂漠から立ち去る。
remove,取り外す、撤去する。物を元の場所から移動したり、取り除いたりすることを意味します。
generosity,寛大さ、気前の良さ
traverse,を横切る、横断する
bile,胆汁
ail,苦しめる、苦痛を与える
discuss,議論する、話し合うこと。複数人で特定の話題について深く話し合うことです。
finally,ついに、または最終的に。長い時間や努力の末に到達した結果を表します。
deal in,取り扱う、携わる、処理する
disarmament,軍縮
be located in,に位置している、に立っている
adjust,調整する、合わせる。状況や環境に適応するために変更や修正を加えること。
unless,～でない限り。条件が満たされない場合を示す表現です。
robust,たくましい、強靭な
light bulb,電球、光球、蛍光灯
hedonism,快楽主義
hold up,持ちこたえる、耐える
wash up,顔や手を洗う、皿洗いをする
rage,激怒、憤慨
fiber,繊維、糸
cheer up,元気づける
incentive,動機、促進する要因。
midweek,週半ば
let up,やめる、弱まる、止む
menace,脅威
admire,を賞賛する、を賛美する
let the cat out of the bag,秘密を漏らす、バラす
infusion,注入、注ぎ込む
municipality,自治体
scruffy,みすぼらしい
furnace,かまど、暖炉
off duty,非番の、勤務時間外の
at all costs,何が何でも
genesis,起源、始まり、出発点
immersion,没入、熱中
readability,文章の読みやすさ、可読性
unplug,電源コードを抜く行為。
parity,同等、等価、相当
kinship,親族、家族
symptom,症状、兆候
repair,を修理する、修繕する
effectively,効率的に、有効に
originally,もともと。最初の状態や出発点を意味し、当初の起源を指します。
critic,作品を評価する批評家。
emphasize,を強調する、力説する
exclude A from B,AをBから除外する
